epoch,train_loss,val_loss
1,0.028843,0.022137
2,0.020597,0.020968
3,0.018108,0.017602
4,0.016399,0.015152
5,0.015013,0.015043
6,0.014026,0.013468
7,0.013319,0.013012
8,0.01264,0.012292
9,0.012366,0.011817
10,0.011707,0.011514
11,0.011381,0.011311
12,0.010981,0.010904
13,0.010711,0.010626
14,0.010414,0.010409
15,0.010215,0.010182
16,0.009981,0.010032
17,0.009747,0.009904
18,0.009747,0.009736
19,0.009433,0.009566
20,0.009286,0.009588
21,0.009138,0.009251
22,0.009024,0.009238
23,0.008915,0.009155
24,0.008782,0.008988
25,0.00869,0.008818
26,0.008573,0.008664
27,0.008448,0.008687
28,0.008439,0.008678
29,0.008293,0.008563
30,0.008244,0.010152
31,0.008198,0.008298
32,0.008145,0.008319
33,0.008002,0.008191
34,0.007929,0.008178
35,0.007896,0.008274
36,0.007769,0.008162
37,0.007735,0.008092
38,0.007676,0.007928
39,0.007604,0.007936
40,0.007543,0.007823
41,0.007497,0.007823
42,0.007443,0.007806
43,0.007411,0.007959
44,0.007378,0.007878
45,0.007305,0.007743
46,0.007233,0.007533
47,0.007422,0.007578
48,0.007201,0.007464
49,0.007136,0.007414
50,0.007497,0.007472
